id,title,authors,citation_issue,pdf_filename,published_at,slug,type,url
21,"Review of The Novels of Alex Miller: An Introduction, edited by Robert Dixon.",Joseph Cummins,27.3/4,review-by-joseph-cummins-27-3-4.pdf,2012-11-01,review-by-joseph-cummins,review,https://www.australianliterarystudies.com.au/articles/review-by-joseph-cummins
22,"Cosmopolitanism, Sovereignty and Medievalism",John Ganim,26.3-4,cosmopolitanism-sovereignty-and-medievalism-john-ganim-26-3-4.pdf,2011-11-01,cosmopolitanism-sovereignty-and-medievalism,essay,https://www.australianliterarystudies.com.au/articles/cosmopolitanism-sovereignty-and-medievalism
23,Parliamentary Medievalism: The Australian Magna Carta as Secular Relic,Stephanie Trigg,26.3-4,parliamentary-medievalism-the-australian-stephanie-trigg-26-3-4.pdf,2011-11-01,parliamentary-medievalism-the-australian-magna-carta-as-secular-relic,essay,https://www.australianliterarystudies.com.au/articles/parliamentary-medievalism-the-australian-magna-carta-as-secular-relic
24,Dreaming of the Middle Ages: The Place of the ‘mittelalterlich’ and Socialist Awareness in Christina’s Stead’s Early Fiction,Michael Ackland,26.3-4,dreaming-of-the-middle-michael-ackland-26-3-4.pdf,2011-11-01,dreaming-of-the-middle-ages-the-place-of-the-mittelalterlich-and-socialist-awareness-in-christinas-steads-early-fiction,essay,https://www.australianliterarystudies.com.au/articles/dreaming-of-the-middle-ages-the-place-of-the-mittelalterlich-and-socialist-awareness-in-christinas-steads-early-fiction
25,Grievous Music: Randolph Stow’s Middle Ages,Melanie Duckworth,26.3-4,grievous-music-randolph-stows-melanie-duckworth-26-3-4.pdf,2011-11-01,grievous-music-randolph-stows-middle-ages,essay,https://www.australianliterarystudies.com.au/articles/grievous-music-randolph-stows-middle-ages
26,"Under the Angle: Memory, History, and Dance in Nineteenth-Century Medievalism",Seeta Chagariti,26.3-4,under-the-angle-memory-seeta-chagariti-26-3-4.pdf,2011-11-01,under-the-angle-memory-history-and-dance-in-nineteenth-century-medievalism,essay,https://www.australianliterarystudies.com.au/articles/under-the-angle-memory-history-and-dance-in-nineteenth-century-medievalism
27,The Time of Biopolitics in the Settler Colony,Russell West-Pavlov,26.2,the-time-of-biopolitics-russell-west-pavlov-26-2.pdf,2011-06-01,the-time-of-biopolitics-in-the-settler-colony,essay,https://www.australianliterarystudies.com.au/articles/the-time-of-biopolitics-in-the-settler-colony
28,Badlands and Borderlands: Self-Determination and the Limits of Intercultural Negotiation in the Fiction of Patricia Grace and Alice Tawhai,Jennifer Lawn,25.4,badlands-and-borderlands-self-determination-jennifer-lawn-25-4.pdf,2010-11-01,badlands-and-borderlands-self-determination-and-the-limits-of-intercultural-negotiation-in-the-fiction-of-patricia-grace-and-alice-tawhai,essay,https://www.australianliterarystudies.com.au/articles/badlands-and-borderlands-self-determination-and-the-limits-of-intercultural-negotiation-in-the-fiction-of-patricia-grace-and-alice-tawhai
29,"Rewriting Anthropology and Identifications on the North Pacific Coast: The Work of George Hunt, William Beynon, Franz Boas, and Marius Barbeau",Margery Fee,25.4,rewriting-anthropology-and-identifications-margery-fee-25-4.pdf,2010-11-01,rewriting-anthropology-and-identifications-on-the-north-pacific-coast-the-work-of-george-hunt-william-beynon-franz-boas-and-marius-barbeau,essay,https://www.australianliterarystudies.com.au/articles/rewriting-anthropology-and-identifications-on-the-north-pacific-coast-the-work-of-george-hunt-william-beynon-franz-boas-and-marius-barbeau
30,Terms of Ambivalence: Cultural Politics and Symbolic Exchange,Chris Prentice,25.4,terms-of-ambivalence-cultural-chris-prentice-25-4.pdf,2010-11-01,terms-of-ambivalence-cultural-politics-and-symbolic-exchange,essay,https://www.australianliterarystudies.com.au/articles/terms-of-ambivalence-cultural-politics-and-symbolic-exchange
31,Being Out of Time: Animal Gods in Contemporary Extinction Fictions,Susan McHugh,25.2,being-out-of-time-susan-mchugh-25-2.pdf,2010-06-01,being-out-of-time-animal-gods-in-contemporary-extinction-fictions,essay,https://www.australianliterarystudies.com.au/articles/being-out-of-time-animal-gods-in-contemporary-extinction-fictions
32,Ladies Pets and the Politics of Affect: Elizabeth Barrett Browning and Flush,Jennifer McDonell,25.2,ladies-pets-and-the-jennifer-mcdonell-25-2.pdf,2010-06-01,ladies-pets-and-the-politics-of-affect-elizabeth-barrett-browning-and-flush,essay,https://www.australianliterarystudies.com.au/articles/ladies-pets-and-the-politics-of-affect-elizabeth-barrett-browning-and-flush
33,You Are What You Eat: Rationalising Factory Farms in Don LePan’s Animals,Sherryl Vint,25.2,you-are-what-you-sherryl-vint-25-2.pdf,2010-06-01,you-are-what-you-eat-rationalising-factory-farms-in-don-lepans-animals,essay,https://www.australianliterarystudies.com.au/articles/you-are-what-you-eat-rationalising-factory-farms-in-don-lepans-animals
34,"Persian Sheep, Hawksbill Turtles and Vodsels: The Ethics of Eating in Some Contemporary Narratives",Wendy Woodward,25.2,persian-sheep-hawksbill-turtles-wendy-woodward-25-2.pdf,2010-06-01,persian-sheep-hawksbill-turtles-and-vodsels-the-ethics-of-eating-in-some-contemporary-narratives,essay,https://www.australianliterarystudies.com.au/articles/persian-sheep-hawksbill-turtles-and-vodsels-the-ethics-of-eating-in-some-contemporary-narratives
35,"Displaying the Monster: Patrick White, Sexuality, Celebrity",Guy Davidson,25.1,displaying-the-monster-patrick-guy-davidson-25-1.pdf,2010-05-01,displaying-the-monster-patrick-white-sexuality-celebrity,essay,https://www.australianliterarystudies.com.au/articles/displaying-the-monster-patrick-white-sexuality-celebrity
36,"Review of Pacifism and English Literature: Minstrels of Peace, by R.S. White.",Philip Metres,25.1,review-by-philip-metres-25-1.pdf,2010-05-01,review-by-philip-metres,review,https://www.australianliterarystudies.com.au/articles/review-by-philip-metres
37,"‘Touches of Nature that Make the Whole World Kin’: Furphy, Race and Anxiety",Frances Devlin-Glass,19.4,touches-of-nature-that-frances-devlin-glass-19-4.pdf,2000-11-01,touches-of-nature-that-make-the-whole-world-kin-furphy-race-and-anxiety,essay,https://www.australianliterarystudies.com.au/articles/touches-of-nature-that-make-the-whole-world-kin-furphy-race-and-anxiety
38,Challenging the Editing of the Rachel Henning Letters,Anne Allingham,16.3,challenging-the-editing-of-anne-allingham-16-3.pdf,1994-10-01,challenging-the-editing-of-the-rachel-henning-letters,essay,https://www.australianliterarystudies.com.au/articles/challenging-the-editing-of-the-rachel-henning-letters
39,Manifesting Literary Feminisms: Nexus and Faultlines,"Margaret Henderson, Ann Vickery",24.3-4,manifesting-literary-feminisms-nexus-ann-vickery-margaret-henderson-24-3-4.pdf,2009-11-01,manifesting-literary-feminisms-nexus-and-faultlines,essay,https://www.australianliterarystudies.com.au/articles/manifesting-literary-feminisms-nexus-and-faultlines
40,Gender Buttons,Rachel Blau DuPlessis,24.3-4,gender-buttons-rachel-blau-duplessis-24-3-4.pdf,2009-11-01,gender-buttons,essay,https://www.australianliterarystudies.com.au/articles/gender-buttons
41,"Dear Daughter: Popular Feminism, the Epistolary Form and the Limits of Generational Rhetoric",Anthea Taylor,24.3-4,dear-daughter-popular-feminism-anthea-taylor-24-3-4.pdf,2009-11-01,dear-daughter-popular-feminism-the-epistolary-form-and-the-limits-of-generational-rhetoric,essay,https://www.australianliterarystudies.com.au/articles/dear-daughter-popular-feminism-the-epistolary-form-and-the-limits-of-generational-rhetoric
42,The Significance of Littoral in Beverley Farmer’s Novel The Seal Woman,Anne Collett,24.3-4/,the-significance-of-littoral-anne-collett-24-3-4.pdf,2009-11-01,the-significance-of-littoral-in-beverley-farmers-novel-the-seal-woman,essay,https://www.australianliterarystudies.com.au/articles/the-significance-of-littoral-in-beverley-farmers-novel-the-seal-woman
43,"Who Is Kevin, and Why Do We Need to Talk About Him? Lionel Shriver, Kevin, and the Problem of Representation",Jen Webb,24.3-4,who-is-kevin-and-jen-webb-24-3-4.pdf,2009-11-01,who-is-kevin-and-why-do-we-need-to-talk-about-him-lionel-shriver-kevin-and-the-problem-of-representation,essay,https://www.australianliterarystudies.com.au/articles/who-is-kevin-and-why-do-we-need-to-talk-about-him-lionel-shriver-kevin-and-the-problem-of-representation
44,Valerie Solanas and the Limits of Speech,Natalya Lusty,24.3-4,valerie-solanas-and-the-natalya-lusty-24-3-4.pdf,2009-11-01,valerie-solanas-and-the-limits-of-speech,essay,https://www.australianliterarystudies.com.au/articles/valerie-solanas-and-the-limits-of-speech
45,"The Modernist roman à clef and Cultural Secrets, or I Know That You Know That I Know That You Know",Melissa Boyde,24.3-4,the-modernist-roman-a-melissa-boyde-24-3-4.pdf,2009-11-01,the-modernist-roman-clef-and-cultural-secrets-or-i-know-that-you-know-that-i-know-that-you-know,essay,https://www.australianliterarystudies.com.au/articles/the-modernist-roman-clef-and-cultural-secrets-or-i-know-that-you-know-that-i-know-that-you-know
46,An Indian without a Country,Carrie Dawson,24.2,an-indian-without-a-carrie-dawson-24-2.pdf,2009-06-01,an-indian-without-a-country,essay,https://www.australianliterarystudies.com.au/articles/an-indian-without-a-country
47,The Solitariness of Alex Miller,Peter Pierce,21.3,the-solitariness-of-alex-peter-pierce-21-3.pdf,2004-05-01,the-solitariness-of-alex-miller,essay,https://www.australianliterarystudies.com.au/articles/the-solitariness-of-alex-miller
48,"Good Readers and Good Citizens : Literature, Media and the Nation",David Carter,19.2,good-readers-and-good-david-carter-19-2.pdf,1999-10-01,good-readers-and-good-citizens-literature-media-and-the-nation,essay,https://www.australianliterarystudies.com.au/articles/good-readers-and-good-citizens-literature-media-and-the-nation
49,The Spirit of the Creek!,John Lang,3.3,the-spirit-of-the-john-lang-3-3.pdf,1968-05-01,the-spirit-of-the-creek,essay,https://www.australianliterarystudies.com.au/articles/the-spirit-of-the-creek
50,The Poetry of Rosemary Dobson,James McAuley,6.1,the-poetry-of-rosemary-james-mcauley-6-1.pdf,1973-05-01,the-poetry-of-rosemary-dobson,essay,https://www.australianliterarystudies.com.au/articles/the-poetry-of-rosemary-dobson
51,Folksong - A Protest,John Greenway,2.3,folksong-a-protest-john-greenway-2-3.pdf,1966-06-01,folksong-a-protest,essay,https://www.australianliterarystudies.com.au/articles/folksong-a-protest
52,"‘Oh, Vaunted Queensland!’ : A Literary Interpretation, 1862-69",Lorna L. McDonald,6.2,oh-vaunted-queensland-lorna-l-mcdonald-6-2.pdf,1973-10-01,oh-vaunted-queensland-a-literary-interpretation-1862-69,essay,https://www.australianliterarystudies.com.au/articles/oh-vaunted-queensland-a-literary-interpretation-1862-69
53,The Composition of ‘Geoffry Hamlyn’ : The Legend and the Facts,Brian Elliott,3.4,the-composition-of-geoffry-brian-elliott-3-4.pdf,1968-10-01,the-composition-of-geoffry-hamlyn-the-legend-and-the-facts,essay,https://www.australianliterarystudies.com.au/articles/the-composition-of-geoffry-hamlyn-the-legend-and-the-facts
54,The Historical Basis of ‘Robbery Under Arms’,Robin Berwick Walker,2.1,the-historical-basis-of-robin-berwick-walker-2-1.pdf,1965-06-01,the-historical-basis-of-robbery-under-arms,essay,https://www.australianliterarystudies.com.au/articles/the-historical-basis-of-robbery-under-arms
55,Myth and the Poetry of A. D. Hope,Suzanne Graham,7.2,myth-and-the-poetry-suzanne-graham-7-2.pdf,1975-10-01,myth-and-the-poetry-of-a-d-hope,essay,https://www.australianliterarystudies.com.au/articles/myth-and-the-poetry-of-a-d-hope
56,Marcus Clarke’s ‘Chidiock Tichbourne’,Michael Wilding,6.4,marcus-clarkes-chidiock-tichbourne-michael-wilding-6-4.pdf,1974-10-01,marcus-clarkes-chidiock-tichbourne,essay,https://www.australianliterarystudies.com.au/articles/marcus-clarkes-chidiock-tichbourne
57,A prisoner’s reflections,Jim Grahame,4.2,a-prisoners-reflections-jim-grahame-4-2.pdf,1969-10-01,a-prisoners-reflections,essay,https://www.australianliterarystudies.com.au/articles/a-prisoners-reflections
58,The Railway Spiritualized,John Crosbie,4.2,the-railway-spiritualized-john-crosbie-4-2.pdf,1969-10-01,the-railway-spiritualized,essay,https://www.australianliterarystudies.com.au/articles/the-railway-spiritualized
59,Narrative Perspective and Cultural History in ‘Robbery Under Arms’,Jerome H. Rosenberg,6.1,narrative-perspective-and-cultural-jerome-h-rosenberg-6-1.pdf,1973-05-01,narrative-perspective-and-cultural-history-in-robbery-under-arms,essay,https://www.australianliterarystudies.com.au/articles/narrative-perspective-and-cultural-history-in-robbery-under-arms
60,True Tales and False Alike Work by Suggestion: The Poetry of A.D. Hope,Chris Wallace-Crabbe,14.4,true-tales-and-false-chris-wallace-crabbe-14-4.pdf,1990-10-01,true-tales-and-false-alike-work-by-suggestion-the-poetry-of-ad-hope,essay,https://www.australianliterarystudies.com.au/articles/true-tales-and-false-alike-work-by-suggestion-the-poetry-of-ad-hope
61,"Ripping Yarns, Ideology, and Robbery Under Arms",Graeme Turner,14.2,ripping-yarns-ideology-and-graeme-turner-14-2.pdf,1989-10-01,ripping-yarns-ideology-and-robbery-under-arms,essay,https://www.australianliterarystudies.com.au/articles/ripping-yarns-ideology-and-robbery-under-arms
62,Interview with Christina Stead,"Christina Stead, Rodney Wetherell",9.4,interview-with-christina-stead-christina-stead-william-shakespeare-rodney-wetherell-9-4.pdf,1980-10-01,interview-with-christina-stead,essay,https://www.australianliterarystudies.com.au/articles/interview-with-christina-stead
63,Tasma’s First Publication,Lucy Sussex,15.3,tasmas-first-publication-lucy-sussex-15-3.pdf,1992-05-01,tasmas-first-publication,essay,https://www.australianliterarystudies.com.au/articles/tasmas-first-publication
64,First Steps toward a History of the Mid-Victorian Novel in Colonial Australia,Tim Dolin,22.3,first-steps-toward-a-tim-dolin-22-3.pdf,2006-05-01,first-steps-toward-a-history-of-the-mid-victorian-novel-in-colonial-australia,essay,https://www.australianliterarystudies.com.au/articles/first-steps-toward-a-history-of-the-mid-victorian-novel-in-colonial-australia
65,Interview with Hal Porter,"Mary Lord, Hal Porter",8.3,interview-with-hal-porter-hal-porter-8-3.pdf,1978-05-01,interview-with-hal-porter,essay,https://www.australianliterarystudies.com.au/articles/interview-with-hal-porter
66,Out of Context : A Study of Thomas Keneally’s Novels,Robert Burns,4.1,out-of-context-robert-burns-4-1.pdf,1969-05-01,out-of-context-a-study-of-thomas-keneallys-novels,essay,https://www.australianliterarystudies.com.au/articles/out-of-context-a-study-of-thomas-keneallys-novels
67,Review of Vance Palmer by Harry Heseltine,Dorothy Green,5.2,review-by-dorothy-green-5-2.pdf,1971-10-01,review-by-dorothy-green,review,https://www.australianliterarystudies.com.au/articles/review-by-dorothy-green
68,Short Notices,Laurie Hergenhan,5.2,review-by-laurie-hergenhan-5-2.pdf,1971-10-01,short-notices,review,https://www.australianliterarystudies.com.au/articles/short-notices
69,Patrick White’s ‘The Vivisector’ : The Artist in Relation to His Art,John Beston,5.2,patrick-whites-the-vivisector-john-beston-5-2.pdf,1971-10-01,patrick-whites-the-vivisector-the-artist-in-relation-to-his-art,essay,https://www.australianliterarystudies.com.au/articles/patrick-whites-the-vivisector-the-artist-in-relation-to-his-art
70,Slessor’s Cook : The Imprudent Hero,Gerald McCallum,5.2,slessors-cook-the-gerald-mccallum-5-2.pdf,1971-10-01,slessors-cook-the-imprudent-hero,essay,https://www.australianliterarystudies.com.au/articles/slessors-cook-the-imprudent-hero
71,Annual Bibliography of Studies in Australian Literature : 1968,S. J. Routh,4.1,annual-bibliography-of-studies-4-1.pdf,1969-05-01,annual-bibliography-of-studies-in-australian-literature-1968,essay,https://www.australianliterarystudies.com.au/articles/annual-bibliography-of-studies-in-australian-literature-1968
72,Annual Bibliography of Studies in Australian Literature : 1964,"Annette Hildyard, Geoffrey Hiller",2.1,annual-bibliography-of-studies-2-1.pdf,1965-06-01,annual-bibliography-of-studies-in-australian-literature-1964,essay,https://www.australianliterarystudies.com.au/articles/annual-bibliography-of-studies-in-australian-literature-1964
73,Annual Bibliography of Studies in Australian Literature : 1963,Brian Kiernan,1.3,annual-bibliography-of-studies-1-3.pdf,1964-06-01,annual-bibliography-of-studies-in-australian-literature-1963,essay,https://www.australianliterarystudies.com.au/articles/annual-bibliography-of-studies-in-australian-literature-1963
74,Primary Sources for the Study of the Vocabulary of Nineteenth Century Australian English,W. S. Ramson,1.4,primary-sources-for-the-w-s-ramson-1-4.pdf,1964-12-01,primary-sources-for-the-study-of-the-vocabulary-of-nineteenth-century-australian-english,essay,https://www.australianliterarystudies.com.au/articles/primary-sources-for-the-study-of-the-vocabulary-of-nineteenth-century-australian-english
75,Review of The Prose of Christopher Brennan. Edited by A. R. Chisholm and J. J. Quinn,Antoine Henri Denat,1.2,review-by-antoine-henri-denat-1-2.pdf,1963-12-01,review-by-antoine-henri-denat,review,https://www.australianliterarystudies.com.au/articles/review-by-antoine-henri-denat
76,Review of Colonial Ballads by Hugh Anderson,John Gilfedder,1.2,review-by-john-gilfedder-1-2.pdf,1963-12-01,review-by-john-gilfedder,review,https://www.australianliterarystudies.com.au/articles/review-by-john-gilfedder
77,Two Australian Folklore Journals,Edgar Waters,1.2,review-by-edgar-waters-1-2.pdf,1963-12-01,two-australian-folklore-journals,review,https://www.australianliterarystudies.com.au/articles/two-australian-folklore-journals
78,Review of Marjoric Barnard and M. Barnard Eldershaw by Louise E. Rorabacher,Harry Payne Heseltine,6.4,review-by-harry-payne-heseltine-6-4.pdf,1974-10-01,review-by-harry-payne-heseltine,review,https://www.australianliterarystudies.com.au/articles/review-by-harry-payne-heseltine
79,‘Bush’ : A Possible English Dialect Origin for an Australian Term,Ged Martin,6.4,bush-a-possible-ged-martin-6-4.pdf,1974-10-01,bush-a-possible-english-dialect-origin-for-an-australian-term,essay,https://www.australianliterarystudies.com.au/articles/bush-a-possible-english-dialect-origin-for-an-australian-term
80,‘Geoffry Hamlyn’ Through Contemporary Eyes,Laurie Hergenhan,2.4,geoffry-hamlyn-through-contemporary-laurie-hergenhan-2-4.pdf,1966-12-01,geoffry-hamlyn-through-contemporary-eyes,essay,https://www.australianliterarystudies.com.au/articles/geoffry-hamlyn-through-contemporary-eyes
81,The Design of ‘For the Term of His Natural Life’,Annette Stewart,6.4,the-design-of-for-annette-stewart-6-4.pdf,1974-10-01,the-design-of-for-the-term-of-his-natural-life,essay,https://www.australianliterarystudies.com.au/articles/the-design-of-for-the-term-of-his-natural-life
82,Australian Novels in French,Xavier Pons,6.4,australian-novels-in-french-xavier-pons-6-4.pdf,1974-10-01,australian-novels-in-french,essay,https://www.australianliterarystudies.com.au/articles/australian-novels-in-french
83,‘The Battlers’ : Kylie Tennant and the Australian Tradition,Xavier Pons,6.4,the-battlers-kylie-xavier-pons-6-4.pdf,1974-10-01,the-battlers-kylie-tennant-and-the-australian-tradition,essay,https://www.australianliterarystudies.com.au/articles/the-battlers-kylie-tennant-and-the-australian-tradition
84,‘Damned Scamp’ : Marcus Clarke or James Erskine Calder?,Joan Poole,6.4,damned-scamp-marcus-joan-poole-6-4.pdf,1974-10-01,damned-scamp-marcus-clarke-or-james-erskine-calder,essay,https://www.australianliterarystudies.com.au/articles/damned-scamp-marcus-clarke-or-james-erskine-calder
85,Patrick White’s First Book,Leon Cantrell,6.4,patrick-whites-first-book-leon-cantrell-6-4.pdf,1974-10-01,patrick-whites-first-book,essay,https://www.australianliterarystudies.com.au/articles/patrick-whites-first-book
86,Marcus Clarke : ‘Long Odds’ and the 1873 Melbourne Cup,Lurline Stuart,6.4,marcus-clarke-long-lurline-stuart-6-4.pdf,1974-10-01,marcus-clarke-long-odds-and-the-1873-melbourne-cup,essay,https://www.australianliterarystudies.com.au/articles/marcus-clarke-long-odds-and-the-1873-melbourne-cup
87,Review of The Literature of Australia. Edited by Geoffrey Dutton,John Colmer,2.1,review-by-john-colmer-2-1.pdf,1965-06-01,review-by-john-colmer,review,https://www.australianliterarystudies.com.au/articles/review-by-john-colmer
88,A.G. Stephens : The Critical Credo,S. E. Lee,1.4,ag-stephens-the-s-e-lee-1-4.pdf,1964-12-01,ag-stephens-the-critical-credo,essay,https://www.australianliterarystudies.com.au/articles/ag-stephens-the-critical-credo
89,Review of various,Laurie Hergenhan,4.2,review-by-laurie-hergenhan-4-2.pdf,1969-10-01,review-by-laurie-hergenhan,review,https://www.australianliterarystudies.com.au/articles/review-by-laurie-hergenhan
90,Review by Julian Croft,Julian Croft,4.2,review-by-julian-croft-4-2.pdf,1969-10-01,review-by-julian-croft,review,https://www.australianliterarystudies.com.au/articles/review-by-julian-croft
91,Review of Australian Literary Pseudonyms: An Index,Walter Stone,6.4,review-by-walter-stone-6-4.pdf,1974-10-01,review-by-walter-stone,review,https://www.australianliterarystudies.com.au/articles/review-by-walter-stone
92,Review of Witnesses of Spring: Unpublished Poems by Shaw Neilson,Dennis Douglas,5.2,review-by-dennis-douglas-5-2.pdf,1971-10-01,review-by-dennis-douglas,review,https://www.australianliterarystudies.com.au/articles/review-by-dennis-douglas
93,Early Australian Poetry and its Bibliographers,Bruce Nesbitt,4.2,early-australian-poetry-and-bruce-nesbitt-4-2.pdf,1969-10-01,early-australian-poetry-and-its-bibliographers,essay,https://www.australianliterarystudies.com.au/articles/early-australian-poetry-and-its-bibliographers
94,Literary Composition on Board a Convict Ship : The ‘Pestonjee Bomanjee Journal’,"J. E. Hiener, Wilhelm Hiener",4.2,literary-composition-on-board-wilhelm-hiener-j-e-hiener-4-2.pdf,1969-10-01,literary-composition-on-board-a-convict-ship-the-pestonjee-bomanjee-journal,essay,https://www.australianliterarystudies.com.au/articles/literary-composition-on-board-a-convict-ship-the-pestonjee-bomanjee-journal
95,Review of Shaw Neilson and Louis Stone by H. J. Oliver,F. H. Mares,4.2,review-by-f-h-mares-4-2.pdf,1969-10-01,review-by-f-h-mares,review,https://www.australianliterarystudies.com.au/articles/review-by-f-h-mares
